Benchmark,Size_MB,Bandwidth_GBs,Avg_Power_W,Energy_pJ_bit,Type
ld,0.015625,417.698,3.8260833333333335,1.1449909184785818,Load
st,0.015625,471.258,7.49635,1.9883879955353543,Store
ld,0.0625,1591.11,7.635,0.5998171088108302,Load
st,0.0625,388.964,7.799636363636363,2.506541853370866,Store
ld,0.25,1077.04,10.005833333333335,1.161265288816262,Load
st,0.25,513.756,15.359870967741935,3.7371512371003783,Store
ld,1.0,1539.27,16.86451351351351,1.369522039141404,Load
st,1.0,476.541,24.533154285714282,6.435216037474814,Store
ld,4.0,725.385,19.0575960591133,3.2840484809985906,Load
st,4.0,469.089,28.132179166666667,7.496492980720786,Store
ld,16.0,746.525,19.851152671755727,3.3239263038337175,Load
st,16.0,494.779,29.188553398058254,7.374139110102251,Store
ld,50.0,746.523,19.611083333333337,3.283737294988456,Load
st,50.0,447.13,24.63233891213389,6.886235242584341,Store
ld,500.0,746.473,18.46198795180723,3.091536457414942,Load
st,500.0,455.318,27.866428889750047,7.650265553346794,Store
