Benchmark,Size_MB,Bandwidth_GBs,Avg_Power_W,Energy_pJ_bit
Load,0.03125,1064.41,30.249,3.5523200646367465
Store,0.03125,948.235,54.079,7.128902645441268
Load,0.0625,2051.61,71.382,4.3491453053943
Store,0.0625,1885.83,72.836,4.827847685104171
Load,0.25,678.89,73.56275000000001,13.544674026720088
Store,0.25,2900.13,74.06184210526315,3.192177682779011
Load,4.0,541.799,74.341,17.151425159514876
Store,4.0,2135.36,85.107,4.982005376142664
Load,16.0,553.343,78.60857142857144,17.75765018907157
Store,16.0,2160.96,96.42712903225807,5.577794651003377
Load,50.0,359.811,83.85983333333334,29.133292663833704
Store,50.0,2153.24,87.747,5.093893388567926
Load,1024.0,40.7425,47.52789830508475,145.81793675242298
Store,1024.0,2205.65,148.14950000000002,8.396022714392583
Load,4096.0,40.4244,26.30682433554817,81.34574766585334
Store,4096.0,2180.38,192.25738327526133,11.02201125923356
Load,10240.0,40.2912,21.77766799046863,67.56335127294741
Store,10240.0,618.27,167.736784375,33.912526965363035
