Benchmark,Size_MB,Bandwidth_GBs,Avg_Power_W,Energy_pJ_bit
Load,0.03125,1057.68,29.577999999999996,3.495622494516299
Store,0.03125,944.121,36.708,4.860076197860232
Load,0.0625,2037.55,72.78054545454546,4.464954568878399
Store,0.0625,1872.93,75.6559,5.04930109507563
Load,0.25,671.431,75.95,14.139576516425366
Store,0.25,2904.71,76.209,3.2795442574301736
Load,4.0,543.764,76.892125,17.67589547119706
Store,4.0,2121.47,86.04700000000001,5.070010417304983
Load,16.0,554.349,88.74135714285714,20.010263647733005
Store,16.0,2151.78,97.5275,5.665512970656851
Load,50.0,359.384,87.434,30.411064488124122
Store,50.0,2162.1,94.11985714285713,5.441460683066066
Load,1024.0,40.7476,43.634868020304566,133.85717201842738
Store,1024.0,2214.79,147.7666140350877,8.339764381447434
Load,4096.0,40.4244,27.232675975359346,84.20865855572175
Store,4096.0,2184.52,193.32158536585365,11.062017363417
Load,8192.0,40.3308,23.203350203252032,71.91572632842652
Store,8192.0,798.437,170.63392429022082,26.713742645039748
Load,12288.0,40.2753,21.353188364205582,66.2725925201227
Store,12288.0,563.453,168.36443209876543,37.35103728677579
Load,16384.0,40.268,20.493645394501964,63.616411898101354
Store,16384.0,534.262,165.54678353658537,38.73258427901137
Load,24576.0,40.2674,20.61620973586095,63.99782993147357
Store,24576.0,524.098,165.4334115942029,39.4566978871802
