Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,8,420.588,41.85245,41.918,0.06555000000000177,6.536960640000178e-05,0.0,6.536960640000178e-05,6.536960640000178e-05,0.01948165425547144
Store,0.03125,8,347.469,42.173,42.181333333333335,0.00833333333333286,9.702416666666117e-06,0.0,9.702416666666117e-06,9.702416666666117e-06,0.002997869354292347
Load,0.0625,8,810.369,42.158,42.23212,0.07412000000000063,7.612642840000064e-05,0.0,7.612642840000064e-05,7.612642840000064e-05,0.011433063209476272
Store,0.0625,8,694.861,42.250800000000005,42.21,0.0,0.0,0.0,0.0,0.0,0.0
Load,0.25,8,405.934,41.977,41.977,0.0,0.0,0.0,0.0,0.0,0.0
Store,0.25,8,1420.45,42.2214,42.18,0.0,0.0,0.0,0.0,0.0,0.0
Load,4.0,8,315.307,42.159,42.647,0.48799999999999955,0.07724893599999992,0.0,0.07724893599999992,0.07724893599999992,0.1934622447329109
Store,4.0,8,1297.33,47.03875,44.621,0.0,0.0,0.0,0.0,0.0,0.0
Load,16.0,8,339.19,43.658175,45.28384615384615,1.6256711538461488,0.381948186253845,0.0,0.381948186253845,0.381948186253845,0.5991004871333725
Store,16.0,8,1327.1,49.680875,48.945,0.0,0.0,0.0,0.0,0.0,0.0
Load,50.0,8,143.073,44.209625,43.4251625,0.0,0.0,0.0,0.0,0.0,0.0
Store,50.0,8,1335.67,48.36895,46.9044,0.0,0.0,0.0,0.0,0.0,0.0
Load,1024.0,8,38.0227,46.633,35.02437094017094,0.0,0.0,0.0,0.0,0.0,0.0
Store,1024.0,8,1357.69,60.6653,64.43644,3.7711400000000026,8.601366957600005,0.0,8.601366957600005,8.601366957600005,0.3472018649323485
Load,4096.0,8,40.2298,56.674099999999996,30.655864723792952,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,8,1342.59,97.1217,86.96245484949833,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,8,40.094,67.0916,29.839273140822783,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,8,819.277,115.84099999999998,101.596940625,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,8,40.0996,71.4091,29.209950955414012,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,8,550.471,108.686,97.24400307692308,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,8,40.1077,77.70984999999999,29.18776064023281,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,8,502.179,103.167,97.19050304878049,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,8,40.1057,60.678999999999995,28.746746302877447,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,8,481.098,100.4005,97.61981081081082,0.0,0.0,0.0,0.0,0.0,0.0
