Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,16,418.714,43.351,43.483391304347826,0.1323913043478271,7.977174546377067e-05,7.048798563674489e-05,0.0,0.00013365431739130538,0.02358946517159653
Store,0.03125,16,108.772,43.62285,43.49886956521739,0.0,7.41311999999969e-05,0.00012839900482604458,0.0,0.0002223935999999907,0.04264328138126077
Load,0.0625,16,809.044,43.624700000000004,43.50844,0.0,1.4247833599998652e-05,2.4677971692984648e-05,0.0,4.2743500799995956e-05,0.002209397758341735
Store,0.0625,16,217.651,43.683125000000004,43.76,0.07687499999999403,4.9199999999996175e-05,8.521689973238214e-05,0.0,0.00014759999999998852,0.014716794317507161
Load,0.25,16,681.048,43.7257,43.927,0.20129999999999626,0.00033317699799999376,0.0005770794884492634,0.0,0.0009995309939999813,0.01231557834396378
Store,0.25,16,383.856,43.551249999999996,43.693000000000005,0.14175000000000892,0.00029185669150002137,0.00032798039614674997,0.0,0.0006467967450000408,0.02082891158632026
Load,4.0,16,656.12,46.943625000000004,48.194,1.2503749999999982,0.04673265444895807,0.0512325785846159,0.0,0.10151269467499986,0.10966476497239008
Store,4.0,16,489.086,45.403875000000006,45.01423333333334,0.0,0.00010862335632188413,0.00018814117203816132,0.0,0.0003258700689656524,0.0005134783687154347
Load,16.0,16,681.083,56.67999999999999,51.89992452830189,0.0,0.34261684525508,0.2970833473583117,0.0,0.5287167616615362,0.2385701573946565
Store,16.0,16,537.482,47.7062,47.14861363636364,0.0,0.039569940752032774,0.068537147835011,0.0,0.11870982225609833,0.04969124594246399
Load,50.0,16,286.144,49.380125,50.19453164556962,0.8144066455696191,0.12733437931698294,0.22054961452726204,0.0,0.3820031379509488,0.11858927753881772
Store,50.0,16,514.709,53.122,52.64363157894737,0.0,0.15483241602380807,0.2681776112118771,0.0,0.4644972480714242,0.07071820508533008
Load,1024.0,16,80.8975,48.6945,45.564358255451715,0.0,0.0,0.0,0.0,0.0,0.0
Store,1024.0,16,543.262,62.533,58.24019923371648,0.0,0.0,0.0,0.0,0.0,0.0
Load,4096.0,16,80.2311,47.12625,42.686356016597514,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,16,539.986,70.63114999999999,67.44332786885246,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,16,80.361,51.539075000000004,41.66622125,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,16,418.425,103.921,96.46175161290323,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,16,80.2076,54.121249999999996,41.3490414118955,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,16,170.449,97.273,91.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,16,80.2665,58.524249999999995,41.72307971163749,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,16,118.738,91.4751,88.58667964071857,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,16,80.1763,61.5914,41.4593936657682,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,16,112.631,92.2884,89.91399697885196,0.0,0.0,0.0,0.0,0.0,0.0
